====================================================================================================
  QUEST 3 AR ROBOT CONTROL - DEBUG SESSION
  Started: 2026-03-11 17:24:21
  Platform: Windows 11
====================================================================================================

[17:24:21.787] [INIT] Server starting...
[17:24:21.787] [INIT] Platform: Windows
[17:24:21.789] [INIT] Arduino connected: False
[17:38:35.949] [INFO] Quest 3 connected from 10.201.149.105
[17:38:35.950] [INFO] Active connections: 1
[17:38:47.029] [MODE] MODE 1 ACTIVATED: Manual Control
[17:43:48.624] [TRACK] Mode 4 tracking: X=34.5cm, Z=-28.0cm, Heading=79.4°
[17:43:50.427] [TRACK] Mode 4 tracking: X=34.5cm, Z=-28.0cm, Heading=79.4°
[17:43:50.630] [TRACK] Mode 4 tracking: X=34.5cm, Z=-28.0cm, Heading=79.4°
[17:43:50.822] [TRACK] Mode 4 tracking: X=34.5cm, Z=-28.0cm, Heading=79.4°
[17:43:53.224] [TRACK] Mode 4 tracking: X=34.5cm, Z=-28.0cm, Heading=79.4°
[17:43:55.623] [TRACK] Mode 4 tracking: X=34.5cm, Z=-28.0cm, Heading=79.4°
[17:43:57.022] [TRACK] Mode 4 tracking: X=34.5cm, Z=-28.0cm, Heading=79.4°
[17:43:57.827] [TRACK] Mode 4 tracking: X=34.5cm, Z=-28.0cm, Heading=79.4°
[17:43:58.624] [TRACK] Mode 4 tracking: X=34.5cm, Z=-28.0cm, Heading=79.4°
[17:43:58.819] [TRACK] Mode 4 tracking: X=34.5cm, Z=-28.0cm, Heading=79.4°
[17:44:01.632] [TRACK] Mode 4 tracking: X=34.5cm, Z=-28.0cm, Heading=79.4°
[17:44:02.021] [TRACK] Mode 4 tracking: X=34.5cm, Z=-28.0cm, Heading=79.4°
[17:44:04.249] [TRACK] Mode 4 tracking: X=34.5cm, Z=-28.0cm, Heading=79.4°
[17:44:05.233] [TRACK] Mode 4 tracking: X=34.5cm, Z=-28.0cm, Heading=79.4°
[17:44:10.271] [TRACK] Mode 4 tracking: X=34.5cm, Z=-28.0cm, Heading=79.4°
[17:44:12.020] [TRACK] Mode 4 tracking: X=34.5cm, Z=-28.0cm, Heading=79.4°
[17:44:17.220] [TRACK] Mode 4 tracking: X=34.5cm, Z=-28.0cm, Heading=79.4°
[17:44:17.982] [TRACK] Mode 4 tracking: X=34.5cm, Z=-28.0cm, Heading=79.4°
[17:44:18.223] [TRACK] Mode 4 tracking: X=34.5cm, Z=-28.0cm, Heading=79.4°
[17:44:21.042] [TRACK] Mode 4 tracking: X=34.5cm, Z=-28.0cm, Heading=79.4°
[17:44:26.818] [TRACK] Mode 4 tracking: X=34.5cm, Z=-28.0cm, Heading=79.4°
[17:44:27.020] [TRACK] Mode 4 tracking: X=34.5cm, Z=-28.0cm, Heading=79.4°
[17:44:30.026] [TRACK] Mode 4 tracking: X=34.5cm, Z=-28.0cm, Heading=79.4°
[17:44:31.896] [TRACK] Mode 4 tracking: X=34.5cm, Z=-28.0cm, Heading=79.4°
[17:44:33.311] [TRACK] Mode 4 tracking: X=34.5cm, Z=-28.0cm, Heading=79.4°
[17:44:33.622] [TRACK] Mode 4 tracking: X=34.5cm, Z=-28.0cm, Heading=79.4°
[17:44:36.233] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=252.4°
[17:44:38.626] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:44:39.221] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:44:39.428] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:44:43.822] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:44:44.833] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:44:51.029] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:44:53.240] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:44:53.455] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:44:54.225] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:44:54.449] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:44:55.025] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:44:56.437] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:44:57.433] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:44:57.633] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:44:58.818] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:44:59.219] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:45:02.062] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:45:03.424] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:45:04.025] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:45:05.217] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:45:05.827] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:45:09.474] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:45:10.426] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:45:11.111] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:45:13.671] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:45:20.024] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:45:20.460] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:45:21.068] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:45:25.652] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:45:27.087] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:45:28.314] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
