====================================================================================================
  QUEST 3 AR ROBOT CONTROL - DEBUG SESSION
  Started: 2026-03-15 12:46:44
  Platform: Windows 11
====================================================================================================

[12:46:44.200] [INIT] Server starting...
[12:46:44.201] [INIT] Platform: Windows
[12:46:44.201] [INIT] Arduino connected: False
[12:48:38.449] [INFO] Quest 3 connected from 192.168.101.105
[12:48:38.450] [INFO] Active connections: 1
[12:54:33.554] [TRACK] Mode 4 tracking: X=4.1cm, Z=-23.2cm, Heading=234.6°
[12:54:37.546] [TRACK] Mode 4 tracking: X=-7.3cm, Z=-9.7cm, Heading=165.2°
[12:54:37.748] [TRACK] Mode 4 tracking: X=-10.6cm, Z=-12.6cm, Heading=153.0°
[12:54:39.150] [TRACK] Mode 4 tracking: X=-11.2cm, Z=-22.7cm, Heading=95.9°
[12:54:40.750] [TRACK] Mode 4 tracking: X=-6.2cm, Z=-26.7cm, Heading=37.9°
[12:54:43.547] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:54:46.546] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:54:46.745] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:54:48.980] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:54:50.627] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:54:51.446] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:54:53.345] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:54:54.344] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:54:55.948] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:54:57.357] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:54:58.346] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:54:58.744] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:54:58.946] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:54:59.147] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:55:01.143] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:55:01.545] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:55:02.344] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:55:02.546] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:55:02.744] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:55:05.544] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:55:07.946] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:55:08.145] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:55:11.947] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:55:15.091] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:55:17.943] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:55:23.152] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:55:23.756] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:55:26.746] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:55:27.150] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:55:27.557] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
